Node	x	y
0	0.5301	0.2828
1	0.034	0.5312
2	0.2748	0.2224
3	0.501	0.4973
4	0.7233	0.7755
5	0.4673	0.1769
6	0.4304	0.6129
7	0.1519	0.9499
8	0.2287	0.5895
9	0.7712	0.097
10	0.8409	0.5911
11	0.8284	0.4301
12	0.2073	0.5106
13	0.7755	0.843
14	0.5368	0.9417
15	0.5813	0.5329
16	0.434	0.1275
17	0.7921	0.7799
18	0.8054	0.4657
19	0.3427	0.5618
20	0.9787	0.5876
21	0.1157	0.8038
22	0.2087	0.6285
23	0.5564	0.7049
24	0.3116	0.1076
25	0.5721	0.3943
26	0.7389	0.1569
27	0.0245	0.4529
28	0.3455	0.9238
29	0.9238	0.2124
30	0.2886	0.5967
31	0.1343	0.5987
32	0.6055	0.1271
33	0.6735	0.9204
34	0.9155	0.5185
35	0.0116	0.6975
36	0.3087	0.9201
37	0.6783	0.7786
38	0.1212	0.6769
39	0.2825	0.9863
40	0.028	0.9368
41	0.8458	0.8791
42	0.7372	0.1531
43	0.7266	0.3672
44	0.2673	0.1407
45	0.2685	0.1135
46	0.4785	0.9581
47	0.2709	0.6415
48	0.3994	0.8269
49	0.9615	0.838
50	0.3329	0.5365
51	0.8907	0.286
52	0.0302	0.2073
53	0.0846	0.7871
54	0.963	0.5602
55	0.3435	0.033
56	0.7023	0.8088
57	0.4946	0.9531
58	0.6558	0.7015
59	0.0678	0.4619
60	0.5488	0.4092
61	0.6061	0.2193
62	0.4157	0.5032
63	0.0196	0.9013
64	0.0308	0.3582
65	0.5696	0.1359
66	0.2674	0.1873
67	0.7832	0.8295
68	0.0581	0.1252
69	0.9778	0.7792
70	0.1803	0.2441
71	0.2744	0.8583
72	0.4054	0.7164
73	0.8517	0.8465
74	0.2501	0.1135
75	0.0839	0.5206
76	0.4357	0.7842
77	0.9241	0.9574
78	0.797	0.8956
79	0.4167	0.3849
80	0.284	0.983
81	0.5045	0.3478
82	0.8736	0.1986
83	0.0039	0.9562
84	0.792	0.44
85	0.8834	0.3201
86	0.623	0.809
87	0.8265	0.8784
88	0.3031	0.025
89	0.4978	0.1478
90	0.9425	0.3681
91	0.517	0.3154
92	0.254	0.4555
93	0.8221	0.2385
94	0.8198	0.8433
95	0.6043	0.9279
96	0.8754	0.0571
97	0.7412	0.2652
98	0.0143	0.7353
99	0.0939	0.7091
100	0.7184	0.0208
101	0.5364	0.3093
102	0.1024	0.9024
103	0.9202	0.4851
104	0.1855	0.2844
105	0.8153	0.7097
106	0.6749	0.9681
107	0.7523	0.8959
108	0.0058	0.1865
109	0.8879	0.6039
110	0.5543	0.2763
111	0.4907	0.5308
112	0.2871	0.131
113	0.9785	0.8964
114	0.1487	0.197
115	0.6335	0.6708
116	0.3777	0.3957
117	0.6095	0.2378
118	0.8509	0.9799
119	0.9833	0.579
120	0.5528	0.8057
121	0.942	0.96
122	0.7752	0.8056
123	0.2629	0.7264
124	0.2771	0.9847
125	0.9437	0.8193
126	0.0993	0.3907
127	0.4946	0.4509
128	0.4869	0.8042
129	0.7549	0.1263
130	0.3845	0.5283
131	0.0973	0.0685
132	0.0233	0.4136
133	0.6132	0.6798
134	0.7224	0.0517
135	0.9989	0.3364
136	0.6332	0.3843
137	0.5848	0.2186
138	0.8184	0.4726
139	0.8023	0.6305
140	0.2817	0.9445
141	0.7255	0.5313
142	0.7347	0.4359
143	0.4514	0.9593
144	0.893	0.7168
145	0.3072	0.4445
146	0.9017	0.9007
147	0.2867	0.798
148	0.8756	0.7443
149	0.6798	0.7066
150	0.7959	0.6307
151	0.9334	0.9515
152	0.8716	0.5989
153	0.2567	0.2701
154	0.8828	0.3634
155	0.9731	0.7048
156	0.6025	0.567
157	0.0739	0.4585
158	0.6647	0.3431
159	0.4994	0.5396
160	0.3994	0.5588
161	0.9205	0.1049
162	0.4066	0.7001
163	0.716	0.6964
164	0.5297	0.4512
165	0.2852	0.3096
166	0.4592	0.823
167	0.7558	0.7787
168	0.6804	0.0243
169	0.7569	0.4471
170	0.0853	0.3109
171	0.6764	0.0088
172	0.6717	0.4122
173	0.9974	0.0428
174	0.2127	0.4956
175	0.5382	0.9612
176	0.0288	0.8042
177	0.3189	0.8633
178	0.6237	0.3105
179	0.1765	0.5856
180	0.9237	0.7628
181	0.4254	0.9959
182	0.5373	0.7202
183	0.1399	0.0175
184	0.5514	0.4775
185	0.5151	0.9316
186	0.1517	0.4881
187	0.1625	0.7896
188	0.0425	0.9518
189	0.2745	0.8722
190	0.8817	0.8163
191	0.0691	0.6772
192	0.0185	0.239
193	0.2892	0.4075
194	0.5616	0.7381
195	0.9845	0.0457
196	0.8762	0.8045
197	0.3305	0.4744
198	0.8547	0.2172
199	0.0129	0.9567
